0   , 12.2, 12.3
0.05, 13.6, 13.6
0.1 , 15  , 15  
0.15, 16.3, 16.4
0.2 , 17.7, 17.9
0.25, 19.1, 19.2
0.3 , 20.6, 20.6
0.35, 21.9, 22  
0.3 , 20.9, 20.8
0.25, 19.4, 19.4
0.2 , 18.1, 18  
0.15, 16.6, 16.6
0.1 , 15.2, 15.1
0.05, 13.7, 13.7
0   , 12.2, 12.3
