50,5,-4,3.2,-2.56,0.79,0.8,247.47
100,25,-8,16,-5.12,1.58,0.32,49.49
150,16,-5,10.24,-3.2,2.38,0.31,77.33
200,17,-6,10.88,-3.84,3.17,0.35,72.78
250,18,-5,11.52,-3.2,3.96,0.28,68.74
300,35,-11,22.4,-7.04,4.75,0.31,35.35
350,23,-5,14.72,-3.2,5.54,0.22,53.8
400,21,-8,13.44,-5.12,6.34,0.38,58.92
450,13,-6,8.32,-3.84,7.13,0.46,95.18
500,48,-15,30.72,-9.6,7.92,0.31,25.78
