50,-13.5,5.5,-8.64,3.52,0.79,0.41,-91.65
100,-24,6.5,-15.36,4.16,1.58,0.27,-51.56
150,-23.5,9,-15.04,5.76,2.38,0.38,-52.65
200,-21.5,4.5,-13.76,2.88,3.17,0.21,-57.55
250,-30,10.5,-19.2,6.72,3.96,0.35,-41.24
300,-26.5,7.5,-16.96,4.8,4.75,0.28,-46.69
350,-32.5,9,-20.8,5.76,5.54,0.28,-38.07
400,-36.5,9.5,-23.36,6.08,6.34,0.26,-33.9
450,-72,22.5,-46.08,14.4,7.13,0.31,-17.19
500,-54.5,15.5,-34.88,9.92,7.92,0.28,-22.7
