48,47,47,166,53,52,52,135
5.2,5.1,0,0,1.7,1.6,0,0
2.3,2.3,0,0,1.3,1.3,0,0
5,5,0,0,2,2,0,0
1,1,1,6,1,1,1,3
2.1,2.1,2.1,3.6,1.9,1.9,1.9,2.2
